기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,일반_점포_수,프랜차이즈_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수
20261,11740650,성내2동,CS300023,미용재료,4,4,0,0,0,0,0
20261,11740650,성내2동,CS300022,화장품,43,39,4,0,0,0,0
20261,11740650,성내2동,CS300021,문구,6,6,0,0,0,0,0
20261,11740650,성내2동,CS300020,서적,5,5,0,0,0,0,0
20261,11740650,성내2동,CS300019,의료기기,17,17,0,0,0,0,0
20261,11740650,성내2동,CS300018,의약품,26,22,4,8,2,0,0
20261,11740650,성내2동,CS300017,시계및귀금속,8,8,0,0,0,0,0
20261,11740650,성내2동,CS300016,안경,7,6,1,0,0,0,0
20261,11740650,성내2동,CS300015,가방,5,5,0,0,0,0,0
20261,11740650,성내2동,CS300014,신발,4,4,0,0,0,0,0
20261,11740650,성내2동,CS300013,유아의류,2,2,0,0,0,0,0
20261,11740650,성내2동,CS300011,일반의류,37,37,0,3,1,3,1
20261,11740650,성내2동,CS300010,반찬가게,24,23,1,4,1,4,1
20261,11740650,성내2동,CS300009,청과상,20,20,0,0,0,0,0
20261,11740650,성내2동,CS300008,수산물판매,10,10,0,0,0,0,0
20261,11740650,성내2동,CS300007,육류판매,19,19,0,11,2,0,0
20261,11740650,성내2동,CS300006,미곡판매,6,6,0,0,0,0,0
20261,11740650,성내2동,CS300004,핸드폰,16,16,0,0,0,0,0
20261,11740650,성내2동,CS300003,컴퓨터및주변장치판매,10,10,0,0,0,10,1
20261,11740650,성내2동,CS300002,편의점,18,4,14,0,0,6,1
20261,11740650,성내2동,CS300001,슈퍼마켓,36,26,10,0,0,8,3
20261,11740650,성내2동,CS200047,가정용품임대,1,1,0,0,0,0,0
20261,11740650,성내2동,CS200046,의류임대,1,1,0,0,0,0,0
20261,11740650,성내2동,CS200044,여행사,10,10,0,10,1,10,1
20261,11740650,성내2동,CS200043,건축물청소,16,16,0,0,0,6,1
20261,11740650,성내2동,CS200042,통번역서비스,2,2,0,0,0,0,0
20261,11740650,성내2동,CS200041,사진관,16,16,0,6,1,0,0
20261,11740650,성내2동,CS200040,녹음실,4,4,0,0,0,0,0
20261,11740650,성내2동,CS200039,DVD방,2,2,0,0,0,0,0
